branca_x,branca_y,b1_tipo,b1_x,b1_y,b1_dist_branca,b1_ang_branca,b1_dist_cacapa,b1_ang_corte,b2_tipo,b2_x,b2_y,b2_dist_branca,b2_ang_branca,b2_dist_cacapa,b2_ang_corte,b3_tipo,b3_x,b3_y,b3_dist_branca,b3_ang_branca,b3_dist_cacapa,b3_ang_corte,b4_tipo,b4_x,b4_y,b4_dist_branca,b4_ang_branca,b4_dist_cacapa,b4_ang_corte,b5_tipo,b5_x,b5_y,b5_dist_branca,b5_ang_branca,b5_dist_cacapa,b5_ang_corte,b6_tipo,b6_x,b6_y,b6_dist_branca,b6_ang_branca,b6_dist_cacapa,b6_ang_corte,b7_tipo,b7_x,b7_y,b7_dist_branca,b7_ang_branca,b7_dist_cacapa,b7_ang_corte,b8_tipo,b8_x,b8_y,b8_dist_branca,b8_ang_branca,b8_dist_cacapa,b8_ang_corte,b9_tipo,b9_x,b9_y,b9_dist_branca,b9_ang_branca,b9_dist_cacapa,b9_ang_corte,b10_tipo,b10_x,b10_y,b10_dist_branca,b10_ang_branca,b10_dist_cacapa,b10_ang_corte,b11_tipo,b11_x,b11_y,b11_dist_branca,b11_ang_branca,b11_dist_cacapa,b11_ang_corte,b12_tipo,b12_x,b12_y,b12_dist_branca,b12_ang_branca,b12_dist_cacapa,b12_ang_corte,b13_tipo,b13_x,b13_y,b13_dist_branca,b13_ang_branca,b13_dist_cacapa,b13_ang_corte,b14_tipo,b14_x,b14_y,b14_dist_branca,b14_ang_branca,b14_dist_cacapa,b14_ang_corte,b15_tipo,b15_x,b15_y,b15_dist_branca,b15_ang_branca,b15_dist_cacapa,b15_ang_corte
0.805,0.805,2.0,0.77875,0.5125,0.13290033860002012,-0.5565306157946845,0.2691700206189389,0.8233665982716878,1.0,0.74125,0.48,0.15612895311248326,-0.6190025506622772,0.2903812149571663,0.382005254333037,1.0,0.63125,0.6225,0.1755348968154196,-0.8460691633326538,0.19121323175972946,0.4435142608279115,1.0,0.56125,0.7275,0.22075438840485143,-0.9498168350057161,0.11752659273543158,0.3958280182597876,1.0,0.44375,0.28,0.39940737349227795,-0.7999789443122,0.11853796860078208,0.4395058047907809,1.0,0.26125,0.925,0.4892966891365606,0.9650176737834201,0.21411737435341394,0.9417277091841129,1.0,0.37375,0.11,0.49536476459271905,-0.7841012974599847,0.11718041645257965,0.698018805242548,1.0,0.4,0.035,0.49979995998399196,-0.7580567571718524,0.08947066558375431,0.7660128470838783,-1.0,0.18,0.925,0.5615870368874267,0.9695356086418643,0.1439618004888797,0.004212910571947821,1.0,0.19,0.105,0.6329138961975791,-0.8353086078578992,0.15480633061990715,0.10456355199650592,-1.0,0.13625,0.195,0.6574201472422336,-0.8637970439794562,0.12496499509862752,0.050964085790455006,-1.0,0.04625,0.6,0.6848111053421959,-0.957258075937023,0.16269987707432357,0.49664667423054987,-1.0,0.04375,0.6375,0.6849908758516423,-0.9651209552358674,0.14578237204820066,0.4883308641740462,-1.0,0.03,0.52,0.7048013904640086,-0.9421185696729998,0.19697715603592209,0.5434227514242235,-1.0,0.04375,0.1525,0.7407783069177984,-0.8711189415908434,0.05461226968365259,0.2439492101672415
0.8025,0.8025,1.0,0.68625,0.76,0.1057000473036791,-0.942449708399535,0.18908000951977974,0.2143942819263735,-1.0,0.71,0.6275,0.1138859078200635,-0.7588396681733033,0.23956470942106645,0.4543130284092608,2.0,0.7775,0.5125,0.1316054710108968,-0.5543467057322627,0.26991896932227644,0.820202400035987,1.0,0.74,0.48,0.15468112360595265,-0.6177009802244396,0.29120439557122074,0.14612986934222238,1.0,0.63125,0.6225,0.17303540100222264,-0.8459774653557145,0.19121323175972946,0.4436059588048507,1.0,0.60125,0.295,0.28967654375181984,-0.7134336408045666,0.14562365879210698,0.00019807706602201948,-1.0,0.495,0.5025,0.30601470552899906,-0.855536967530492,0.20464908990757816,0.6514195178873071,-1.0,0.79375,0.08,0.3232065902793444,-0.5077084208191289,0.1675447701362236,0.4736579721248621,1.0,0.4,0.03,0.49895515830583415,-0.7565569622906877,0.08955445270895246,0.772459213546864,-1.0,0.2375,0.85,0.5057976374005715,0.9866275897028022,0.20066140635408694,0.06546701497515758,-1.0,0.19,0.925,0.5505690238289837,0.9682744825694465,0.15285614151874957,0.0009266637174638806,1.0,0.16125,0.835,0.5737355662672482,0.9919353935966205,0.13815299490058117,0.12453722700388359,-1.0,0.1625,0.94,0.5757267146832775,0.965937176621174,0.12776932339180638,0.011761847293209194,-1.0,0.22,0.25,0.5766248780619858,-0.8590411301629377,0.20203960007879646,0.01292709020768763,1.0,0.065,0.45,0.6782154893542317,-0.9253298495983312,0.18772320048411703,0.35654786666051363
0.80875,0.8025,1.0,0.6875,0.7575,0.11030072529226632,-0.9415965157226591,0.1905944647674743,0.21600929701777724,-1.0,0.7125,0.625,0.11710038428630369,-0.7628973921657374,0.24201239637671457,0.44958275208131254,2.0,0.7825,0.5075,0.13400093283257397,-0.5560614291049385,0.26861915419418625,0.8276246292838799,1.0,0.74375,0.4725,0.1586190404711868,-0.6194524129113773,0.28646553021262433,0.3835122074537962,1.0,0.6325,0.62,0.1775176047607673,-0.8479334409323314,0.1927822605946927,0.44132616860323026,1.0,0.60375,0.2875,0.2943891981714003,-0.7140215303424934,0.1444385682565429,0.008066940443397974,-1.0,0.495,0.4975,0.3120196307926794,-0.8559870165551908,0.20464908990757816,0.3629435019729899,-1.0,0.8,0.0675,0.3287951489909789,-0.5075773751755718,0.16146594068099934,0.4833091672056363,1.0,0.4,0.025,0.5045418714041482,-0.757981020197547,0.08969392398596462,0.7818096498020969,-1.0,0.235,0.845,0.5135294538777693,0.9882161311296586,0.19906029237394385,0.07139877427847471,-1.0,0.1875,0.9175,0.5580378571387429,0.9706224196083316,0.15101738310538956,0.01079043427084031,1.0,0.16,0.8275,0.5803673405697464,0.9938676203426945,0.13853248716456368,0.1345575170201789,-1.0,0.22,0.2475,0.5821565511097508,-0.8597985352949801,0.2015223312687703,0.012120907836426824,-1.0,0.16,0.9325,0.5831648566228936,0.9682137595854093,0.1258222953216162,0.0006236046010028508,1.0,0.06625,0.445,0.6830858291605822,-0.9248007979492543,0.18578549458986296,0.35332636549341967
0.56625,0.03,-1.0,0.6525,0.4025,0.1835824065644636,0.36195415019006605,0.211863753388823,0.9153982796804687,-1.0,0.79375,0.0825,0.20483224843759346,0.0365663591954334,0.16766782637107214,0.07272722830933653,-1.0,0.35875,0.23,0.2060218435020908,0.8570516355470489,0.15225389978585113,0.9544847518649974,1.0,0.63125,0.625,0.27236923467968993,0.4315292920325702,0.19033194687177454,0.2800352279302427,1.0,0.82625,0.3725,0.2784622954728342,0.18539473336529386,0.2025401194825361,0.4478223948288367,-1.0,0.335,0.4625,0.2831828031501913,0.7606656118330861,0.2397524765252697,0.9504019035614867,-1.0,0.71,0.63,0.2975420138400626,0.35776562471421236,0.2388723508487326,0.43024978313373735,2.0,0.81875,0.5725,0.33146078199388834,0.2613904776152459,0.2254606395803933,0.017669562248938602,1.0,0.68625,0.7625,0.3447190885344181,0.39921596173182605,0.188553705877132,0.44560295392630944,1.0,0.31,0.7925,0.4108679836638528,0.6883682054913454,0.1857182005081893,0.556216093440278,-1.0,0.38125,0.88,0.414584128977461,0.630684494558109,0.11207698247187066,0.5272639834062699,1.0,0.14375,0.5425,0.4419686074824772,0.8264600925605506,0.2170541407114824,0.1561263620124519,1.0,0.065,0.45,0.48608769784885525,0.8737145853333894,0.18772320048411703,0.5575034317287928,-1.0,0.10125,0.725,0.5192157547686703,0.7957155722023641,0.12777421492617358,0.10314087301624912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26875,0.8475,-1.0,0.3175,0.6675,0.09154916711800277,-0.3419837298646481,0.20917994645758947,0.5570261433992696,2.0,0.21875,0.5875,0.1245792920191795,-0.6168750612523435,0.24362368521964362,0.6227938313101813,-1.0,0.12125,0.705,0.1465136512411045,-0.8567616398721037,0.14562365879210698,0.4296066422573079,1.0,0.1625,0.54,0.16716010289539784,-0.6924815553115031,0.22699118925632333,0.6177423638792223,-1.0,0.485,0.7025,0.20400061274417783,-0.10296804537814194,0.11593640498135174,0.5660498330988395,1.0,0.08875,0.455,0.238183227789028,-0.7362609352884021,0.19551534466634585,0.13442015789222617,-1.0,0.37,0.2575,0.2789646034894033,-0.39475964965971383,0.15159567935795532,0.17301643693546184,1.0,0.15625,0.2625,0.2803034070431539,-0.6168750612523435,0.15732927254646545,0.16516876595829072,-1.0,0.73,0.68,0.4193000119246361,-0.05717323245767973,0.24083189157584592,0.8831249387476566,1.0,0.62625,0.1875,0.43516088978675466,-0.23727438865200817,0.13077652694577876,0.5944384107906737,-1.0,0.77875,0.6475,0.4648440598738463,-0.06163179450865471,0.22788703341787572,0.2717744376393086,-1.0,0.80875,0.5625,0.4995247741604014,-0.08212625579230931,0.23465400060514632,0.3557410034292603,1.0,0.895,0.69,0.5645462779967644,-0.039817992936220924,0.14268847185389577,0.36095280441003624,1.0,0.9525,0.2075,0.6752268137448335,-0.13933298735223631,0.0788431988189216,0.2596780193232165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.475,0.4775,-1.0,0.4825,0.7175,0.10754068997360954,0.4801314756944592,0.10957303500405563,0.025758032301603007,-1.0,0.3625,0.2525,0.14230249470757708,-0.75,0.15542281042369555,0.540587552962838,-1.0,0.31,0.68,0.17315094570922795,0.8248067116378428,0.2110923968313402,0.6226714237720878,1.0,0.62625,0.175,0.19131779844018695,-0.25,0.12804784262142022,0.5937147646441053,2.0,0.20875,0.5975,0.24411319095862066,0.9294467528355702,0.23405661708227776,0.1729954089004924,-1.0,0.73375,0.695,0.25104282503190567,0.12664734148857004,0.24032530037430516,0.7092053674166512,1.0,0.155,0.55,0.2880473051427491,0.9640945234982117,0.2195449840010015,0.27872582349232516,-1.0,0.78625,0.66,0.29010773860757316,0.09077609032387869,0.21916032943943115,0.11892838404986952,1.0,0.14875,0.26,0.30759144981614817,-0.8975836176504333,0.15146369201891258,0.12263666253312039,-1.0,0.8175,0.57,0.3091217397725369,0.04272500788263704,0.22703523955544874,0.23613293049366746,-1.0,0.11375,0.7225,0.34118360159890454,0.8959343583875182,0.1353236860272436,0.18321122954172342,1.0,0.08,0.4625,0.3533624201864143,-0.9939568675534217,0.19642110375415367,0.40586908242765163,1.0,0.90875,0.705,0.40107667596109353,0.08163770358605602,0.13063785821881801,0.25615404060247465,1.0,0.96875,0.19,0.4599592373243525,-0.09017972589531224,0.06783251432757008,0.36242713182719827,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47375,0.47,2.0,0.3125,0.5525,0.14887074930959404,0.9202814886502937,0.24766156342880502,0.6570685443538743,1.0,0.835,0.26,0.3364836548779153,-0.09003832911310823,0.16278820596099708,0.11654337340485352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2775,0.4975,2.0,0.1175,0.7775,0.19015782918407542,0.7711893046349464,0.11944140823014437,0.010653091839339277,1.0,0.83,0.27,0.5045356776284508,-0.06463129999411354,0.16905620367203328,0.14356969756900514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.49,2.0,0.12625,0.7675,0.19197004974734994,0.7762469538731717,0.1282283120063584,0.010540706216720071,1.0,0.83625,0.27,0.4983886535626589,-0.06325307658058142,0.16465494222767807,0.15152363594214124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.66375,0.6375,1.0,0.85,0.28,0.23089499778037637,-0.24346030618898853,0.15824032355881987,0.006185917536980325,2.0,0.115,0.7675,0.49424816641035707,0.9624707357022968,0.12095970403402946,0.21455116285075687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
